array length;array id;Sort type;start time;comparisons;swaps;end time;duration (milliseconds)
62500;0;MergeSort;Sat Sep 23 21:58:12 BRT 2023;916863;454854;Sat Sep 23 21:58:12 BRT 2023;12.0
62500;0;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1183580;41588;Sat Sep 23 21:58:12 BRT 2023;11.0
62500;1;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917156;454817;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;1;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1220776;41707;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;2;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917186;454971;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;2;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1207421;41564;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;3;MergeSort;Sat Sep 23 21:58:12 BRT 2023;916999;454825;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;3;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1172477;41720;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;4;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917125;455207;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;4;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1222500;41667;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;5;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917038;455030;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;5;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1340357;41717;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;6;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917045;454762;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;6;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1267436;41775;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;7;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917485;454998;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;7;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1199507;41683;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;8;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917431;454993;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;8;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1144435;41679;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;9;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917195;454892;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;9;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1144157;41727;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;10;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917245;454970;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;10;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1238137;41592;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;11;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917118;455007;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;11;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1186974;41649;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;12;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917006;454527;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;12;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1327372;41676;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;13;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917164;454927;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;13;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1170740;41770;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;14;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917295;455005;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;14;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1210040;41580;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;15;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917098;454827;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;15;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1195370;41686;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;16;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917088;455083;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;16;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1187299;41763;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;17;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917190;455011;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;17;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1181101;41677;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;18;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917316;454974;Sat Sep 23 21:58:12 BRT 2023;5.0
62500;18;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1210718;41611;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;19;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917050;454936;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;19;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1222383;41635;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;20;MergeSort;Sat Sep 23 21:58:12 BRT 2023;916846;454989;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;20;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1283299;41676;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;21;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917164;454868;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;21;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1178095;41596;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;22;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917281;454693;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;22;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1217134;41706;Sat Sep 23 21:58:12 BRT 2023;3.0
62500;23;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917143;455109;Sat Sep 23 21:58:12 BRT 2023;6.0
62500;23;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1282751;41680;Sat Sep 23 21:58:12 BRT 2023;4.0
62500;24;MergeSort;Sat Sep 23 21:58:12 BRT 2023;917086;454956;Sat Sep 23 21:58:12 BRT 2023;7.0
62500;24;QuickSort;Sat Sep 23 21:58:12 BRT 2023;1155760;41741;Sat Sep 23 21:58:12 BRT 2023;3.0
