array length;array id;Sort type;start time;comparisons;swaps;end time;duration (milliseconds)
10000;0;QuickSort;Sat Sep 23 21:58:28 BRT 2023;49995000;9999;Sat Sep 23 21:58:28 BRT 2023;65.0;sorted
10000;0;QuickSort;Sat Sep 23 21:58:28 BRT 2023;149554;6652;Sat Sep 23 21:58:28 BRT 2023;0.0;random
10000;1;QuickSort;Sat Sep 23 21:58:28 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;63.0;sorted
10000;1;QuickSort;Sat Sep 23 21:58:29 BRT 2023;149651;6663;Sat Sep 23 21:58:29 BRT 2023;1.0;random
10000;2;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;64.0;sorted
10000;2;QuickSort;Sat Sep 23 21:58:29 BRT 2023;154124;6649;Sat Sep 23 21:58:29 BRT 2023;1.0;random
10000;3;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;67.0;sorted
10000;3;QuickSort;Sat Sep 23 21:58:29 BRT 2023;151758;6633;Sat Sep 23 21:58:29 BRT 2023;0.0;random
10000;4;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;63.0;sorted
10000;4;QuickSort;Sat Sep 23 21:58:29 BRT 2023;161865;6695;Sat Sep 23 21:58:29 BRT 2023;0.0;random
10000;5;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;65.0;sorted
10000;5;QuickSort;Sat Sep 23 21:58:29 BRT 2023;165024;6648;Sat Sep 23 21:58:29 BRT 2023;0.0;random
10000;6;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;66.0;sorted
10000;6;QuickSort;Sat Sep 23 21:58:29 BRT 2023;158510;6663;Sat Sep 23 21:58:29 BRT 2023;0.0;random
10000;7;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;62.0;sorted
10000;7;QuickSort;Sat Sep 23 21:58:29 BRT 2023;167866;6664;Sat Sep 23 21:58:29 BRT 2023;1.0;random
10000;8;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;67.0;sorted
10000;8;QuickSort;Sat Sep 23 21:58:29 BRT 2023;144248;6692;Sat Sep 23 21:58:29 BRT 2023;1.0;random
10000;9;QuickSort;Sat Sep 23 21:58:29 BRT 2023;49995000;9999;Sat Sep 23 21:58:29 BRT 2023;68.0;sorted
10000;9;QuickSort;Sat Sep 23 21:58:29 BRT 2023;156936;6702;Sat Sep 23 21:58:29 BRT 2023;1.0;random
